,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space","Used Space"
04/10/2019 21:32:22,60,21.9607849,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.496000022,3.456,3.36000013,1.11200011,0.824000061,0.60800004,0.160000011,0.008,27.5,26,27,78,35,48,909,2356,499,236,1059,7.03125,25.78125,22.65625,10.15625,16.40625,33,38,32,30,38,4099.996,4199.996,4199.996,4099.996,36.7318954,25.4225578,0,4.939309,99.99991,14.4504929,2.30326462,13.6357422,24.0000019,1321,0,300,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:23,60,27.0588245,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.39200002,3.47200012,3.36000013,1.12,0.824000061,0.45600003,0.616000056,0.45600003,24.5,26,27,65,35,49,913,2351,499,237,1074,20.3125,23.4375,37.5,12.5,23.4375,34,32,31,32,34,4099.99658,4099.99658,4099.99658,4099.99658,36.6098747,24.7710953,0,4.80839348,99.9999161,14.9374313,2.38087845,13.5581284,24.0000019,1321,0,300,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:24,60.7843132,30.9803925,60.7843132,60.7843132,60.7843132,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.568,3.456,3.36000013,1.12,0.832,0.432,0.6,0.592,31.5,26,27,77,35,50,927,2356,497,237,1075,25.0248013,22.7430573,22.65625,38.28125,27.1763382,37,41,38,39,42,4199.996,4099.996,4099.996,4099.996,51.50612,40.73959,0,5.17365,99.99991,15.2901611,2.43709946,13.5019073,24.0000019,1321,0,300,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:25,60,29.8039227,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.0800000057,3.456,3.36000013,1.11200011,0.824000061,0.432,0.15200001,0.616000056,29.5,26,27,79,35,50,924,2356,500,239,1096,20.8533649,10.15625,26.5625,14.0625,17.9086571,39,36,35,33,39,4099.99561,4099.99561,4199.99561,4099.99561,38.82898,27.5365028,0,5.295858,99.99989,15.9766083,2.5465126,13.3924942,24.0000019,1321,0,300,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:26,60,28.62745,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.008,3.47200012,3.36000013,1.12,0.824000061,0.232000008,0.584000051,0.30400002,28,26,27,79,35,48,929,2360,499,238,1082,34.05258,26.4062519,25,7.8125,23.317831,37,34,38,33,38,4099.996,4099.996,4099.996,4099.996,44.0590439,32.99696,0,4.77188349,99.99991,15.0858917,2.404541,13.5344658,24.0000019,1321,0,300,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:27,60,28.62745,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.36000013,1.12,0.832,0.616000056,0.544,0.344,30,26,27,79,35,57,934,2356,503,241,1086,18.6177845,26.5625,37.5,21.09375,25.9435062,37,38,36,36,38,4099.998,4099.998,4199.998,4199.998,47.4928436,36.0941544,0,5.01287031,99.9999542,15.3055725,2.43955612,13.4994507,25.0000019,1321,0,311.99,150,0.900000036,1,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:28,60,28.62745,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.296,3.456,3.36000013,1.12,0.824000061,0.592,0.224,0.592,30,26,27,51,35,75,929,2360,501,237,1079,19.53125,32.03125,33.59375,28.125,28.3203125,35,36,40,42,42,4099.996,4199.99561,4099.996,4199.99561,50.2278557,39.2207832,0,5.195631,99.9999,15.4597015,2.46412277,13.474884,25.0000019,1321,0,352.389984,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:29,60,28.62745,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.6,3.47200012,3.36000013,1.12,0.832,0.6,0.6,0.504,30,26,27,53,35,49,934,2360,502,241,1079,29.6875,32.03125,33.59375,32.8125,32.03125,41,36,38,43,43,4099.98926,4099.98926,4099.98926,4199.989,50.9365845,40.0671234,0,5.22153759,99.99973,15.9876175,2.54826736,13.3907394,25.0000019,1321,0,304.82,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:30,60,28.62745,60,60,60,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.6,3.47200012,3.36000013,1.12,0.832,0.6,0.592,0.376000017,30.5,26,27,51,35,50,940,2356,497,241,1103,32.8125,34.375,44.53125,46.09375,39.453125,42,48,44,41,47,4100.00342,4100.00342,4100.00342,4100.00342,53.54878,42.8223343,0,5.25659561,100.000084,15.9665527,2.54491043,13.3940964,25.0000019,1321,0,302.259979,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
