,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
04/13/2019 01:02:56,13.1578922,3.94736528,3.94736528,4.571092,6.40592575,90.0293,7.101082,0.7864418,25,139,405.000031,278,0,0,0,4096,113.488281,3982.51172,2.77071,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:38,51.54226,51.6964836,51.2646561,52.71437,51.80444,93.87958,7.40477371,0.482749939,32,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:39,76.5625,73.8095245,81.74603,77.77778,77.47395,93.45267,7.37110138,0.5164223,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:40,60.15625,64.0625,57.8125,59.375,60.3515625,94.3964844,7.445545,0.441978455,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:41,52.34375,57.03125,57.03125,50.78125,54.296875,95.29117,7.51611328,0.37141037,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:42,60.15625,59.375,63.28125,65.625,62.109375,94.47411,7.451668,0.435855865,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:43,62.5,54.6875,57.8125,53.90625,57.2265625,90.82522,7.16386032,0.72366333,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:44,36.71875,23.4375,28.90625,41.40625,32.6171875,90.6555557,7.15047836,0.7370453,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
04/13/2019 21:34:45,45.3125,38.28125,34.375,55.46875,43.359375,90.63345,7.148735,0.7387886,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,35,30671,5928,82.8228455,31,21.28209
