,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
06/15/2019 00:00:00,14.0625,17.96875,13.28125,12.5,14.453125,76.10166,6.002537,1.88498688,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:01,11.71875,13.28125,9.375,7.8125,10.546875,75.9967651,5.9942627,1.893261,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:02,6.25,9.375,6.25,3.125,6.25,75.9971,5.9942894,1.89323425,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:03,4.6875,9.375,5.46875,7.03125,6.640625,75.99526,5.99414444,1.89337921,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:04,6.25,5.46875,4.6875,6.25,5.6640625,75.99497,5.99412155,1.8934021,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:05,1.5625,5.46875,0,2.34375,2.34375,75.99458,5.994091,1.89343262,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:06,6.25,6.25,3.90625,3.125,4.8828125,75.99062,5.993778,1.89374542,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:07,3.90625,4.6875,4.6875,3.125,4.1015625,75.9897,5.99370575,1.8938179,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
06/15/2019 00:00:08,5.46875,5.46875,3.90625,6.25,5.2734375,75.98656,5.993458,1.89406586,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,40,37251,6757,92.5713348,38,34.3245468
