,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
08/02/2019 23:45:30,67.84314,40.7843132,68.62745,68.62745,67.84314,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,39.5,31.5,33,55,36,55,1135,2343,562,340,1113,96.09375,100,96.875,98.4375,97.85156,48,50,51,47,51,3699.99487,3699.99487,3699.99487,3699.99487,64.28043,53.7532272,0,6.24499,99.99986,22.21106,3.54022217,12.3987846,31.0000019,1041,0,393.88,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:31,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.344,1.03200006,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40,31.5,33,55,35,55,1148,2339,566,345,1120,89.84375,84.375,87.5,89.84375,87.890625,48,51,48,47,51,3699.99878,3699.99878,3699.99878,3699.99878,62.18498,51.6419868,0,5.92591333,99.99997,22.94284,3.65686035,12.2821465,31.0000019,1041,0,343.419983,1500,1.087,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:32,68.2353,41.9607849,69.4117661,69.4117661,68.2353,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,39.5,31.5,33,55,36,55,1157,2339,566,351,1156,88.46153,86.92307,82.30769,84.61539,85.57692,46,49,49,47,49,3699.996,3699.996,3699.996,3699.996,61.9125328,51.24025,0,6.145807,99.99989,22.9317017,3.65508652,12.28392,31.0000019,1041,0,303.169983,1500,1.087,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:33,67.84314,41.9607849,68.62745,68.62745,67.84314,100,0.864,1.03200006,3.36000013,3.36000013,1.03200006,1.968,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,39.5,32,33,55,36,55,1148,2339,570,352,1115,85.15625,83.59375,82.03125,82.03125,83.203125,48,51,50,47,52,3699.997,3699.997,3699.997,3699.997,61.42013,50.6425819,0,6.35010147,99.9999161,23.5391312,3.75190353,12.1871033,31.0000019,1041,0,301.82,1500,1.087,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:34,68.62745,40.7843132,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.03200006,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40.5,32,33,55,35,55,1147,2339,573,347,1153,91.40625,98.4375,96.09375,98.4375,96.09375,48,50,50,48,51,3699.99365,3699.99365,3699.99365,3699.99365,63.37687,52.913414,0,6.332039,99.99983,22.7367249,3.62400818,12.3149986,31.0000019,1041,0,300.46,1500,1.087,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:35,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40,32,33,55,36,55,1162,2339,572,353,1127,89.84375,89.0625,87.5,89.84375,89.0625,47,51,49,49,51,3699.99976,3699.99976,3699.99976,3699.99976,61.8068352,51.31914,0,6.260107,99.99999,23.1214523,3.68532944,12.2536774,31.0000019,1041,0,301.199982,1500,1.087,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:36,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40,32,33,55,35,55,1158,2339,571,358,1127,91.40625,92.1875,91.40625,92.96875,91.99219,48,50,50,47,50,3699.99634,3699.99634,3699.99634,3699.99634,62.5114555,52.0508423,0,6.228668,99.9999,23.3904572,3.72820663,12.2108,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:37,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40.5,32,33,55,35,55,1169,2339,578,354,1160,85.9375,85.9375,85.15625,92.1875,87.30469,48,50,50,48,50,3699.99634,3699.99634,3699.99634,3699.99634,62.0225067,51.5596657,0,6.088679,99.9999,23.669899,3.772747,12.16626,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:38,69.4117661,41.9607849,70.98039,70.98039,69.4117661,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,41,32.5,33,55,35,55,1174,2339,576,359,1146,84.375,89.0625,92.96875,86.71875,88.28125,49,52,51,49,53,3699.996,3699.996,3699.996,3699.996,62.03432,51.6191139,0,5.939788,99.99989,23.483078,3.74296951,12.1960373,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
